advance_memo_counted_by_old;both_count;customer_id;diff_reason;net_due;new_only_count;old_51_count;old_51_rupees;old_only_count;paid_amount;receipts_cn_netted;receipts_memo_excl;receipts_same_day;sale_number;section;set_91_count;set_91_rupees;shape;tender;tender_residual
0;;dde74df8-fe5d-48c8-a010-d33f290b98bc;NEW_ONLY_AT_SALE_TENDER;6290;;0;0;;6290;6290;6290;0;POS/26-27/1488;bill;1;6290;RECEIPT_DUPLICATES_AT_SALE_TENDER;6290;6290
0;;5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEW_ONLY_AT_SALE_TENDER;6325;;0;0;;6325;6325;6325;0;POS/26-27/1579;bill;1;6325;RECEIPT_DUPLICATES_AT_SALE_TENDER;6325;6325
0;;dde74df8-fe5d-48c8-a010-d33f290b98bc;NEW_ONLY_AT_SALE_TENDER;2547;;0;0;;2547;2547;2547;0;POS/26-27/1594;bill;1;2547;RECEIPT_DUPLICATES_AT_SALE_TENDER;2547;2547
0;;dde74df8-fe5d-48c8-a010-d33f290b98bc;NEW_ONLY_AT_SALE_TENDER;849;;0;0;;849;849;849;0;POS/26-27/1714;bill;1;849;RECEIPT_DUPLICATES_AT_SALE_TENDER;849;849
0;;22e086fa-29f8-48a6-a66c-b7f5d3ad370f;NEW_ONLY_AT_SALE_TENDER;1900.0002;;0;0;;1200;1200;1200;0;POS/26-27/1753;bill;1;499.9998;MIXED_TENDER_PLUS_RECEIPT_OVER;1200;1200
0;;9c324a1a-6a06-41e4-b51a-9b3e1f6219fc;NEW_ONLY_AT_SALE_TENDER;1399.9993;;0;0.0007;;1399.9993;1400;1400;0;POS/26-27/1768;bill;1;1000.0007;MIXED_TENDER_PLUS_RECEIPT_OVER;1000;1000
0;;0616f278-8878-45fb-9dd4-ea899dfeb039;NEW_ONLY_AT_SALE_TENDER;12584;;0;0;;12584;7584;7584;0;POS/26-27/1787;bill;1;7584;RECEIPT_DUPLICATES_AT_SALE_TENDER;12584;12584
0;;c6633e62-9c59-4c9d-bf64-d879faf9f264;NEW_ONLY_AT_SALE_TENDER;17800;;0;0;;17800.00;17800;17800;0;POS/26-27/185;bill;1;3000;MIXED_TENDER_PLUS_RECEIPT_OVER;3000;3000
0;;b7421872-14e6-493a-a01d-f65e8090a1f6;NEW_ONLY_AT_SALE_TENDER;400;;0;0;;200;200;200;0;POS/26-27/1851;bill;1;800;RECEIPT_DUPLICATES_AT_SALE_TENDER;1000;1000
0;;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;NEW_ONLY_AT_SALE_TENDER;442.005;;0;0;;442;442;442;0;POS/26-27/1919;bill;1;441.995;RECEIPT_DUPLICATES_AT_SALE_TENDER;442;442
0;;eed049ad-25b0-4380-92d4-316219cd8282;NEW_ONLY_AT_SALE_TENDER;10400;;0;0;;10400;8400;8400;0;POS/26-27/1947;bill;1;8400;RECEIPT_DUPLICATES_AT_SALE_TENDER;10400;10400
0;;1b55c8fa-22cc-4b37-8e11-c6755a8dd1fa;NEW_ONLY_AT_SALE_TENDER;1203;;0;0;;1203;1203;1203;0;POS/26-27/1971;bill;1;1203;RECEIPT_DUPLICATES_AT_SALE_TENDER;1203;1203
0;;5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEW_ONLY_AT_SALE_TENDER;4000;;0;0;;4000;4000;4000;0;POS/26-27/2023;bill;1;4000;RECEIPT_DUPLICATES_AT_SALE_TENDER;4000;4000
0;;a52e9c66-0f1c-4aa2-b0d8-7d84c0987831;NEW_ONLY_AT_SALE_TENDER;763;;0;0;;763;763;763;0;POS/26-27/2250;bill;1;763;RECEIPT_DUPLICATES_AT_SALE_TENDER;763;763
0;;e90adfd4-0958-420f-b877-0aea636a7d4f;NEW_ONLY_AT_SALE_TENDER;5000;;0;0;;5000;5000;5000;1000;POS/26-27/270;bill;1;4000;MIXED_TENDER_PLUS_RECEIPT_OVER;5000;4000
0;;bc266355-68d6-424b-b71c-855aad2395c4;NEW_ONLY_AT_SALE_TENDER;4500;;0;0;;3000;3000;3000;0;POS/26-27/454;bill;1;1500;MIXED_TENDER_PLUS_RECEIPT_OVER;3000;3000
0;;3c2e5760-cc73-4b81-87f8-567fcd178448;NEW_ONLY_AT_SALE_TENDER;4500;;0;0;;4500;4500;4500;0;POS/26-27/513;bill;1;4500;RECEIPT_DUPLICATES_AT_SALE_TENDER;4500;4500
0;;b9bd7c57-36e6-458c-8867-fb88d4bf4001;NEW_ONLY_AT_SALE_TENDER;900;;0;0;;900.00;900;900;0;POS/26-27/718;bill;1;500;MIXED_TENDER_PLUS_RECEIPT_OVER;500;500
0;;c085667a-c7ba-4a9f-b842-cead6f56310a;NEW_ONLY_AT_SALE_TENDER;2999.9996;;0;0.0004;;3000;3000;3000;0;POS/26-27/765;bill;1;400.0004;MIXED_TENDER_PLUS_RECEIPT_OVER;400;400
0;;5d17dd09-5cde-4876-87c6-dc8e47f15b23;NEW_ONLY_AT_SALE_TENDER;7000;;0;0;;7000;7000;7000;0;POS/26-27/849;bill;1;7000;RECEIPT_DUPLICATES_AT_SALE_TENDER;7000;7000
0;;a3815bf9-b431-4d95-934a-9857c6be4fe5;NEW_ONLY_AT_SALE_TENDER;1595;;0;0;;1595;1595;1595;0;POS/26-27/851;bill;1;1595;RECEIPT_DUPLICATES_AT_SALE_TENDER;1595;1595
10200;;aacca229-d4da-4c65-a7b7-39b528743fff;OLD_ONLY_ADVANCE_MEMO;10100;;1;100;;10200;10200;0;0;INV/25-26/1194;bill;0;0;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0
21000;;aacca229-d4da-4c65-a7b7-39b528743fff;OLD_ONLY_ADVANCE_MEMO;20750;;1;250;;21000;21000;0;0;INV/25-26/585;bill;0;0;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0
5050;;aacca229-d4da-4c65-a7b7-39b528743fff;OLD_ONLY_ADVANCE_MEMO;4400;;1;650;;5050;5050;0;0;INV/25-26/856;bill;0;0;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0
;48;;;;37;51;163085.612200000001;3;;;;;;headline;85;280818.5076999900011;;;
;;;BOTH;;;48;162085.612200000001;;;;;;;reason;;182927.112200000001;;;
;;;NEW_ONLY_AT_SALE_TENDER;;;37;0.0011;;;;;;;reason;;97891.3954999900001;;;
;;;OLD_ONLY_ADVANCE_MEMO;;;3;1000;;;;;;;reason;;0;;;
