customer_id;customer_repair_bills;gate;over_credit_greatest;over_credit_ledger;paid_amount;receipt_over;receipts_after;receipts_live;receipts_same_day;sale_number;section;shape;sibling_snap_bills;sibling_snap_drop;snap_drop_self;tender;tender_residual
7fb7d5d7-755b-410b-9158-444ab8f69de6;1;REPAIR_SUFFICIENT_SNAP;0;1205;1205;0;0;1205;0;POS/26-27/1047;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;1205;1205
83937541-7e14-4dbc-8d79-0a4dff814e4d;1;REPAIR_SUFFICIENT_SNAP;550;550;4500;550;3950;4500;550;INV/25-26/1413;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
8538501f-2f0b-4f69-8974-d96aaf06b682;1;REPAIR_SUFFICIENT_SNAP;13700.1;13700.1;13699.90;13700.1;13699.9;27400;0;POS/26-27/808;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
87534d47-323f-4057-ae72-6ad52095b68b;1;REPAIR_SUFFICIENT_SNAP;1400;1400;8600;1400;7200;8600;8000;POS/25-26/405;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
9004106f-be58-4a3a-8df2-01f08ea8c569;1;REPAIR_SUFFICIENT_SNAP;245.5;2495.0;2249.5;245.5;0;2495;0;POS/26-27/1322;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;2249.5;2249.5
933ba20a-da65-4216-93fe-df46fbd24d06;1;REPAIR_SUFFICIENT_SNAP;3150;3150;3150;3150;3150;6300;0;INV/26-27/1117;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
93b947b9-fb2f-435d-bc14-d11ba93895a4;1;REPAIR_SUFFICIENT_SNAP;1800;1800;6300;1800;4500;6300;1800;INV/26-27/469;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
95215fda-9b99-41a1-a474-c3366f5f1377;1;REPAIR_SUFFICIENT_SNAP;3180;3180;7000;	-3820;0;0;0;POS/26-27/1879;bill;TENDER_ONLY_OVER;0;0;0;7000;7000
98529989-4d61-4fd6-b685-4832fd2583ca;1;REPAIR_SUFFICIENT_SNAP;1584;4289;2705;1584;0;4289;0;POS/26-27/2358;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;2705;2705
9917dc4d-7257-43bf-abf5-7492bc79b29b;1;REPAIR_SUFFICIENT_SNAP;4200;4200;12800;4200;8600;12800;0;INV/26-27/341;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
99d72bad-ecd3-4d29-a6e3-d9adea52faa4;1;REPAIR_SUFFICIENT_SNAP;899;899;899;0;0;0;0;POS/26-27/1839;bill;TENDER_ONLY_OVER;0;0;0;899;899
9cacb0b3-1d66-47ed-a57d-79b00f24a614;1;REPAIR_SUFFICIENT_SNAP;2385;2385;5260;	-2875;0;0;0;POS/26-27/1878;bill;TENDER_ONLY_OVER;0;0;0;5260;5260
a3815bf9-b431-4d95-934a-9857c6be4fe5;1;REPAIR_SUFFICIENT_SNAP;0;1595;1595;0;0;1595;0;POS/26-27/851;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;1595;1595
a52e9c66-0f1c-4aa2-b0d8-7d84c0987831;1;REPAIR_SUFFICIENT_SNAP;0;763;763;0;0;763;0;POS/26-27/2250;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;763;763
ae7d0c17-8d95-459e-8bc1-62135c39a0ae;2;REPAIR_SUFFICIENT_SNAP;2299;2299;2299.00;2299;2299;4598;0;POS/26-27/610;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
ae7d0c17-8d95-459e-8bc1-62135c39a0ae;2;REPAIR_SUFFICIENT_SNAP;1795;1795;3298;	-1503;0;0;0;POS/26-27/774;bill;TENDER_ONLY_OVER;0;0;0;3298;3298
b7421872-14e6-493a-a01d-f65e8090a1f6;1;REPAIR_SUFFICIENT_SNAP;600;800;200;	-200;0;200;0;POS/26-27/1851;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;1000;1000
ba0a0943-aa92-4175-930d-5cd0860c42f7;1;REPAIR_SUFFICIENT_SNAP;1395;1395;3024;	-1629;0;0;0;POS/26-27/2066;bill;TENDER_ONLY_OVER;0;0;0;3024;3024
beb3997f-089a-475b-844c-db90e8a805d9;1;REPAIR_SUFFICIENT_SNAP;849;849;849;0;0;0;0;POS/26-27/2283;bill;TENDER_ONLY_OVER;0;0;0;849;849
c149678e-d25a-4580-b4b4-376715e3b357;1;REPAIR_SUFFICIENT_SNAP;3100;3100;11000;	-7900;0;0;0;POS/26-27/1966;bill;TENDER_ONLY_OVER;0;0;0;11000;11000
c25acad2-2253-4cd0-98d4-dd2728d4d3b5;1;REPAIR_SUFFICIENT_SNAP;1977.00;1977.00;1977.00;1977.00;1977.00;3954.00;1977.00;POS/26-27/378;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
c2c3d54b-18cc-40fb-9363-73425b65fd97;1;REPAIR_SUFFICIENT_SNAP;3290;3290;3900;	-610;0;0;0;POS/26-27/1081;bill;TENDER_ONLY_OVER;0;0;0;3900;3900
c4fb0775-5389-4ff7-9f4d-f66637a19e44;1;REPAIR_SUFFICIENT_SNAP;300;300;300;0;0;0;0;POS/26-27/696;bill;TENDER_ONLY_OVER;0;0;0;300;300
cbf33d65-e373-4be0-9f96-c3160f01a0f5;1;REPAIR_SUFFICIENT_SNAP;0;250;2250;	-2000;0;250;0;POS/26-27/1445;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;2250;2250
cf08f992-b07a-4177-8efd-d2b9e5214138;2;REPAIR_SUFFICIENT_SNAP;100;100;100;0;0;0;0;POS/26-27/631;bill;TENDER_ONLY_OVER;0;0;0;100;100
cf08f992-b07a-4177-8efd-d2b9e5214138;2;REPAIR_SUFFICIENT_SNAP;805;805;805;0;0;0;0;POS/26-27/754;bill;TENDER_ONLY_OVER;0;0;0;805;805
daf3a60f-ef50-4d9a-822a-621d613a99a9;1;REPAIR_SUFFICIENT_SNAP;3000;3000;12252;3000;12252;15252;0;INV/25-26/779;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
ddbcf6c5-9709-4998-89f3-46e6a8fb574d;1;REPAIR_SUFFICIENT_SNAP;1000;1000;1000;0;0;0;0;POS/26-27/64;bill;TENDER_ONLY_OVER;0;0;0;1000;1000
dde74df8-fe5d-48c8-a010-d33f290b98bc;4;REPAIR_SUFFICIENT_SNAP;0;6290;6290;0;0;6290;0;POS/26-27/1488;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;6290;6290
dde74df8-fe5d-48c8-a010-d33f290b98bc;4;REPAIR_SUFFICIENT_SNAP;0;2547;2547;0;0;2547;0;POS/26-27/1594;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;2547;2547
dde74df8-fe5d-48c8-a010-d33f290b98bc;4;REPAIR_SUFFICIENT_SNAP;0;849;849;0;0;849;0;POS/26-27/1714;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;849;849
dde74df8-fe5d-48c8-a010-d33f290b98bc;4;REPAIR_SUFFICIENT_SNAP;2770;2770;2770.00;2770;2770;5540;0;POS/26-27/853;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
e3ebf0ab-d3c4-4249-bd48-118eb053c7b8;2;REPAIR_SUFFICIENT_SNAP;2095;2095;2445;	-350;0;0;0;POS/26-27/336;bill;TENDER_ONLY_OVER;0;0;0;2445;2445
e3ebf0ab-d3c4-4249-bd48-118eb053c7b8;2;REPAIR_SUFFICIENT_SNAP;2790;2790;5000;	-2210;0;0;0;POS/26-27/521;bill;TENDER_ONLY_OVER;0;0;0;5000;5000
e698842e-8bb1-40bf-ac05-e85ad5840760;1;REPAIR_SUFFICIENT_SNAP;1450;1450;1450;0;0;0;0;POS/26-27/1960;bill;TENDER_ONLY_OVER;0;0;0;1450;1450
e90adfd4-0958-420f-b877-0aea636a7d4f;1;REPAIR_SUFFICIENT_SNAP;0;4000;5000;0;1000;5000;1000;POS/26-27/270;bill;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0;0;5000;4000
ea1e8d2d-8bb5-42e3-8c86-b5e5283d9d4d;2;REPAIR_SUFFICIENT_SNAP;1550;1550;4370;	-2820;0;0;0;POS/26-27/1286;bill;TENDER_ONLY_OVER;0;0;0;4370;4370
ea1e8d2d-8bb5-42e3-8c86-b5e5283d9d4d;2;REPAIR_SUFFICIENT_SNAP;2445;2445;19000;	-16555;0;0;0;POS/26-27/592;bill;TENDER_ONLY_OVER;0;0;0;19000;19000
eed049ad-25b0-4380-92d4-316219cd8282;1;REPAIR_SUFFICIENT_SNAP;0;8400;10400;	-2000;0;8400;0;POS/26-27/1947;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;10400;10400
f759ceed-2d4d-4074-ba43-11e111110761;1;REPAIR_SUFFICIENT_SNAP;1000;1000;2000;	-1000;0;0;0;POS/26-27/2668;bill;TENDER_ONLY_OVER;0;0;0;2000;2000
f78ef061-4c47-4d2a-90c1-f993a50af51a;2;REPAIR_SUFFICIENT_SNAP;90;90;90;0;0;0;0;POS/26-27/1132;bill;TENDER_ONLY_OVER;0;0;0;90;90
f78ef061-4c47-4d2a-90c1-f993a50af51a;2;REPAIR_SUFFICIENT_SNAP;695;695;1603;	-908;0;0;0;POS/26-27/2264;bill;TENDER_ONLY_OVER;0;0;0;1603;1603
f85eefb3-c3b2-4a94-9b2b-53f45f987a23;1;REPAIR_SUFFICIENT_SNAP;1470;1470;5500;	-4030;0;0;0;POS/26-27/567;bill;TENDER_ONLY_OVER;0;0;0;5500;5500
fb724908-5fe3-431e-bfb6-83f33f07a82a;1;REPAIR_SUFFICIENT_SNAP;575;575;575;0;0;0;0;POS/26-27/2323;bill;TENDER_ONLY_OVER;0;0;0;575;575
fc05b0af-62b9-4519-b8c0-d90ff74d2307;1;REPAIR_SUFFICIENT_SNAP;363.3;363.3;5657;363.3;5656.7;6020;0;INV/26-27/187;bill;RECEIPT_OVER_PARTIAL;0;0;0;0;0
fd857b39-a7bd-4bef-9639-a5524c7d4cbf;1;REPAIR_SUFFICIENT_SNAP;24850;24850;24850.00;24850;24850;49700;49700;INV/25-26/821;bill;EXACT_DOUBLE_RECEIPT;0;0;0;0;0
ffe63ae6-51bf-43bf-8bd5-7a17c7f7075c;1;REPAIR_SUFFICIENT_SNAP;0.00009999;2800.00009999;3300;	-499.99990001;0;2800;0;POS/26-27/1411;bill;RECEIPT_DUPLICATES_AT_SALE_TENDER;0;0;0;3300;3300
1167547a-2ef1-4931-8993-2cb21ebcb619;2;SANTOSH_SEPARATE;5500;5500;5800.00;5500;5800;11300;0;POS/25-26/1130;bill;RECEIPT_OVER_PARTIAL;1;6000;0;0;0
1167547a-2ef1-4931-8993-2cb21ebcb619;2;SANTOSH_SEPARATE;0;6000;81200;	-69200;6000;12000;0;POS/25-26/717;bill;MIXED_TENDER_PLUS_RECEIPT_OVER;0;0;6000;75200;75200
;1;WALK_IN_NO_CUSTOMER;200;200;1200;	-1000;0;0;0;POS/25-26/100;bill;TENDER_ONLY_OVER;0;0;0;1200;1200
;1;WALK_IN_NO_CUSTOMER;200;200;200;0;0;0;0;POS/25-26/1008;bill;TENDER_ONLY_OVER;0;0;0;200;200
